62,59,53,0
63,60,54,0
64,59,55,0
58,56,55,0
62,61,51,0
63,61,54,0
65,60,57,0
63,61,54,0
64,59,54,0
66,60,53,0
55,63,48,1
56,67,50,1
55,64,47,1
54,62,48,1
54,70,48,1
54,61,48,1
56,63,50,1
54,64,47,1
54,65,49,1
54,65,48,1
67,64,48,2
66,63,47,2
65,62,46,2
65,57,46,2
67,64,47,2
68,64,47,2
67,68,49,2
65,67,47,2
67,66,48,2
69,68,48,2
59,61,62,3
62,60,61,3
63,60,63,3
60,60,61,3
61,59,63,3
63,59,64,3
62,61,64,3
63,60,62,3
60,59,61,3
63,63,65,3
64,59,56,4
66,59,55,4
67,57,59,4
64,56,55,4
64,58,55,4
63,58,56,4
64,60,56,4
66,58,57,4
66,58,57,4
67,58,58,4
45,56,63,5
48,53,62,5
47,57,64,5
46,55,61,5
47,55,63,5
46,55,62,5
46,54,61,5
46,52,59,5
45,54,60,5
44,53,59,5
59,44,49,6
60,43,48,6
58,45,50,6
59,47,47,6
58,44,48,6
58,45,49,6
58,45,48,6
57,45,48,6
58,44,47,6
58,45,49,6
71,37,60,7
70,38,58,7
70,38,57,7
74,38,55,7
72,38,56,7
73,40,59,7
73,39,58,7
71,40,56,7
73,72,58,7
73,38,56,7
53,56,61,8
53,55,63,8
51,55,61,8
50,56,60,8
52,55,61,8
52,56,63,8
51,56,63,8
50,55,67,8
50,55,62,8
51,55,64,8
51,71,71,9
53,73,75,9
53,76,69,9
51,76,71,9
51,77,70,9
51,79,71,9
51,72,70,9
51,75,70,9
51,74,71,9
52,76,71,9
50,71,70,10
49,76,70,10
47,75,66,10
46,75,67,10
50,73,69,10
49,76,70,10
51,74,70,10
49,73,69,10
46,74,67,10
52,76,65,10
50,69,63,11
55,69,65,11
53,72,65,11
51,71,63,11
54,69,65,11
52,70,65,11
51,71,65,11
51,71,64,11
54,70,66,11
55,71,66,11
71,72,66,12
73,71,67,12
71,88,66,12
72,70,66,12
72,68,66,12
71,71,65,12
71,69,65,12
73,70,64,12
72,69,66,12
69,76,69,12
73,78,67,13
73,77,63,13
73,81,64,13
71,79,65,13
70,76,62,13
72,72,60,13
73,74,62,13
73,87,60,13
72,73,59,13
71,73,59,13
